Ref,Val,Package,PosX,PosY,Rot,Side
"G***","LOGO","pcb way logo",-34.800000,21.900000,180.000000,bottom
"C1","100nF","C_0805_2012Metric_Pad1.15x1.40mm_HandSolder",8.400000,21.175001,-90.000000,top
"C2","100nF","C_0805_2012Metric_Pad1.15x1.40mm_HandSolder",12.024999,14.700000,0.000000,top
"C3","100nF","C_0805_2012Metric_Pad1.15x1.40mm_HandSolder",24.000000,12.900000,180.000000,top
"D1","LED_Small_ALT","LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder",24.975000,16.800000,180.000000,top
"J1","Conn_01x06","PinHeader_1x06_P2.54mm_Vertical",1.700000,19.600000,0.000000,top
"J2","XLR3","DIN3_XLR",32.500000,13.200000,-90.000000,top
"J3","Conn_01x02","PinHeader_1x02_P2.54mm_Vertical",26.975000,4.650000,-90.000000,top
"R1","1K","R_0805_2012Metric_Pad1.15x1.40mm_HandSolder",24.975001,19.000000,0.000000,top
"R2","510r","R_0805_2012Metric_Pad1.15x1.40mm_HandSolder",20.675000,17.250000,180.000000,top
"R3","DNI","R_0805_2012Metric_Pad1.15x1.40mm_HandSolder",26.200000,22.600000,90.000000,top
"R4","DNI","R_0805_2012Metric_Pad1.15x1.40mm_HandSolder",24.000000,22.575000,90.000000,top
"R5","0r","R_0805_2012Metric_Pad1.15x1.40mm_HandSolder",31.725000,3.125000,-90.000000,top
"R6","0r","R_0805_2012Metric_Pad1.15x1.40mm_HandSolder",34.150000,3.125000,90.000000,top
"R7","120r","R_0805_2012Metric_Pad1.15x1.40mm_HandSolder",24.000000,8.300000,90.000000,top
"R8","510r","R_0805_2012Metric_Pad1.15x1.40mm_HandSolder",20.700000,15.075000,180.000000,top
"R9","10K","R_0805_2012Metric_Pad1.15x1.40mm_HandSolder",5.175000,23.825000,180.000000,top
"U1","CRE1S0505SC","Converter_DCDC_muRata_CRE1xxxxxxSC_THT",11.900000,20.900000,90.000000,top
"U2","ADM2483xRW","SOIC-16W_7.5x10.3mm_P1.27mm",15.600000,8.200000,0.000000,top
"U3","ADM809","SOT-23",9.400000,17.300000,0.000000,top
